site_key,sv_num,seq_abund,kingdom,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,growth_morphology,confidence,site_name,region,site_type,yr_since,yr_rank,field_type
1,sv_203,0.875,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_209,0.75,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA,Coniochaetaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_221,59.25,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,NA,Hygrocybe,13,Saprotroph-Symbiotroph,Undefined Saprotroph-Undefined Symbiotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_230,3.5,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,unidentified,Cistella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_234,4.125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Dictyosporium,Dictyosporium_heptasporum,Dictyosporium,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_240,1.375,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,unidentified,unidentified,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,Possible,BBRP1,BM,restored,16,9,restored
1,sv_245,5.75,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Paracylindrocarpon,Paracylindrocarpon_aloicola,Bionectriaceae,9,Pathotroph-Saprotroph,Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_264,8.625,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,unidentified,Cucurbitariaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_284,2.875,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,unidentified,Cucurbitariaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_289,16.5,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_322,0.875,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA,Lasiosphaeriaceae,9,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_324,6.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Microscypha,unidentified,Microscypha,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_325,0.875,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,Possible,BBRP1,BM,restored,16,9,restored
1,sv_354,6.625,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,NA,NA,Melanommataceae,9,Saprotroph,Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_363,0.75,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,unidentified,unidentified,Tubeufiaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_371,14.75,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_intestinacea,Podospora,13,Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Litter Saprotroph-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_400,0.125,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Nectriopsis,NA,Bionectriaceae,9,Pathotroph-Saprotroph,Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_404,47.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,NA,Leohumicola,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_452,0.5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA,Clavicipitaceae,9,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Fungal Parasite-Insect Parasite,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_457,3.875,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,Nectria_ramulariae,Nectria,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_459,3.625,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_461,1.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,NA,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_469,1.375,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_483,0.5,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,NA,Cyphellophora,13,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_511,1.5,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_520,45.375,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,NA,Periconia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_531,0.25,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella,Keissleriella_taminensis,Keissleriella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_533,10.5,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA,Schizothecium,13,Saprotroph,Dung Saprotroph,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_551,1.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,NA,Leohumicola,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_572,0.375,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_574,1.5,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_curvuloides,Schizothecium,13,Saprotroph,Dung Saprotroph,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_578,14.75,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,Leohumicola_minima,Leohumicola,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_581,0.125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella,NA,Keissleriella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_597,0.25,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_600,1.75,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Dichotomopilus,Dichotomopilus_pratensis,Dichotomopilus,13,Saprotroph,Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_602,0.5,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,NA,Dermateaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_615,0.375,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neosetophoma,NA,Neosetophoma,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_622,0.25,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Glutinoglossum,Glutinoglossum_triseptatum,Glutinoglossum,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_625,0.75,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,NA,Mycena,13,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_626,13.5,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_629,0.875,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_herbamans,Serendipita,13,Symbiotroph,Orchid Mycorrhizal,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_664,0.375,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Eriospora,unidentified,Eriospora,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_666,2.125,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Laetinaevia,unidentified,Dermateaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_675,0.375,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_679,4.375,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA,Schizothecium,13,Saprotroph,Dung Saprotroph,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_701,0.375,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_716,2.625,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,unidentified,unidentified,Chaetothyriaceae,9,Pathotroph-Symbiotroph,Epiphyte-Plant Pathogen,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_732,0.875,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,unidentified,Pseudaleuria,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_752,4.75,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,NA,Tetracladium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_753,3.125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_754,14.5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria_tenuipes,Clavaria,13,Saprotroph,Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_761,0.375,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA,Lasiosphaeriaceae,9,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_765,0.875,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_bacilliformis,Ochroconis,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_770,2.25,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,NA,Podospora,13,Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Litter Saprotroph-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_782,3.125,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,Trichoderma,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_795,4.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,unidentified,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_807,2.5,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,NA,Tetracladium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_813,4,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,Lachnum_pygmaeum,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_826,51.125,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_831,0.875,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,NA,NA,Strophariaceae,9,Pathotroph-Saprotroph,Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_836,1.25,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,unidentified,Cucurbitariaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_837,14.75,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,NA,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_850,9.75,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_859,0.625,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,unidentified,Rhizophlyctis,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_871,0.625,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Helicodendron,Helicodendron_luteoalbum,Helicodendron,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_892,4.5,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,NA,NA,Chaetosphaeriaceae,9,Saprotroph,Plant Saprotroph-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_894,11,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA,Schizothecium,13,Saprotroph,Dung Saprotroph,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_930,3.25,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,NA,Clavaria,13,Saprotroph,Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_965,8.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,unidentified,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_966,0.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Chaetomellaceae,Pilidium,Pilidium_pseudoconcavum,Pilidium,13,Pathotroph,Plant Pathogen,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_973,0.875,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,NA,NA,Melanommataceae,9,Saprotroph,Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_977,0.625,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,unidentified,unidentified,Tubeufiaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_984,2.375,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA,Schizothecium,13,Saprotroph,Dung Saprotroph,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_998,36,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_lateralis,Periconia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_1040,0.375,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,NA,Leohumicola,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_1058,0.25,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Stagonospora,NA,Stagonospora,13,Pathotroph,Plant Pathogen,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_1066,4,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_fusispora,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_1081,0.125,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,Clitopilus,13,Saprotroph,Undefined Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_1137,37.125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,Pyrenochaetopsis,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_1162,0.375,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_1173,1,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_1184,5.875,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_fusidioides,Acremonium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_1197,6.25,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,Lachnum_pygmaeum,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
