site_key,otu_num,seq_abund,kingdom,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,growth_morphology,confidence,site_name,region,site_type,yr_since,yr_rank,field_type
1,otu_81,0.125,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA,Coniochaetaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_88,8,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,unidentified,Cistella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_91,3.75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Dictyosporium,Dictyosporium_heptasporum,Dictyosporium,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_94,0.25,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA,Agaricales,7,Pathotroph-Saprotroph-Symbiotroph,Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph,Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast,Possible,BBRP1,BM,restored,16,9,restored
1,otu_97,4.5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Paracylindrocarpon,Paracylindrocarpon_aloicola,Bionectriaceae,9,Pathotroph-Saprotroph,Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_108,0.25,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Jansia,unidentified,Phallaceae,9,Saprotroph,Litter Saprotroph-Soil Saprotroph-Wood Saprotroph,Phalloid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_116,17.25,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_127,0.25,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicomyces,Helicomyces_roseus,Helicomyces,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_134,0.625,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,Possible,BBRP1,BM,restored,16,9,restored
1,otu_146,2,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Leptospora,unidentified,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_150,15.25,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora_intestinacea,Podospora,13,Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Litter Saprotroph-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_156,1.25,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Dichotomopilus,NA,Dichotomopilus,13,Saprotroph,Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_160,0.375,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Nectriopsis,NA,Bionectriaceae,9,Pathotroph-Saprotroph,Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_162,48.75,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Leohumicola,NA,Leohumicola,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_184,0.625,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA,Clavicipitaceae,9,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Fungal Parasite-Insect Parasite,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_186,10.625,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,Nectria_ramulariae,Nectria,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_208,203.625,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,NA,Periconia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_224,1.25,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,unidentified,unidentified,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,Possible,BBRP1,BM,restored,16,9,restored
1,otu_230,1.875,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_232,1.875,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_curvuloides,Schizothecium,13,Saprotroph,Dung Saprotroph,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_234,0.25,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella,NA,Keissleriella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_243,0.625,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,NA,Dermateaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_248,31.875,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,NA,NA,Sebacinaceae,9,Symbiotroph,Ectomycorrhizal,Coralloid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_249,0.625,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Glutinoglossum,Glutinoglossum_triseptatum,Glutinoglossum,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_252,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,NA,Mycena,13,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_253,13.125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_255,1.125,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_herbamans,Serendipita,13,Symbiotroph,Orchid Mycorrhizal,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_269,30,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,unidentified,Clavaria,13,Saprotroph,Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_270,0.375,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Eriospora,unidentified,Eriospora,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_272,1.75,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Laetinaevia,unidentified,Dermateaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_290,0.5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA,Tricholomataceae,9,Pathotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_295,1.125,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,unidentified,Pseudaleuria,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_302,5.375,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,NA,Tetracladium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_303,3.75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_304,16,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria_tenuipes,Clavaria,13,Saprotroph,Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_309,10.75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,unidentified,Cucurbitariaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_311,3.875,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,NA,Podospora,13,Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Litter Saprotroph-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_312,2.75,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,NA,Podospora,13,Saprotroph-Symbiotroph,Dung Saprotroph-Endophyte-Litter Saprotroph-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_322,4.875,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,unidentified,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_332,52.625,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_oxysporum,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_334,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,NA,NA,Strophariaceae,9,Pathotroph-Saprotroph,Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_335,0.125,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Triangularia,NA,Triangularia,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_340,19.25,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,NA,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_342,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Arrhenia,NA,Arrhenia,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_351,4.375,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,NA,NA,Chaetosphaeriaceae,9,Saprotroph,Plant Saprotroph-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_371,1.125,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,Serendipita,13,Symbiotroph,Orchid Mycorrhizal,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_379,0.25,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum_dulcitum,Apiotrichum,13,Saprotroph,Soil Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_392,1.875,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,unidentified,unidentified,Tubeufiaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_393,0.375,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Microfungus,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_400,12.375,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_446,39.75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,Pyrenochaetopsis,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_468,6.5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_fusidioides,Acremonium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_470,1.625,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Delicatula,Delicatula_integrella,Delicatula,13,Saprotroph,Undefined Saprotroph,Agaricoid,Possible,BBRP1,BM,restored,16,9,restored
1,otu_476,18.125,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,unidentified,Lachnum,13,Saprotroph,Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_497,0.625,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_502,0.875,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,NA,Tetracladium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_510,0.375,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,NA,NA,Thyridariaceae,9,Saprotroph,Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_514,0.125,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,unidentified,Scytalidium,13,Saprotroph,Wood Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_521,2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,Trichoderma,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_527,4.375,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_530,0.625,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Rodwayella,unidentified,Rodwayella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_536,0.25,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,NA,Ganoderma,13,Pathotroph-Saprotroph,Plant Pathogen-Wood Saprotroph,Polyporoid,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_542,0.625,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,unidentified,Ochroconis,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_555,0.75,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,NA,Rhizophagus,13,Symbiotroph,Arbuscular Mycorrhizal,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_563,0.5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,Niesslia_dimorphospora,Niesslia,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_565,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_587,0.375,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_pseudodigitata,Periconia,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_589,103.25,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,unidentified,unidentified,Sporormiaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_592,20.5,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,Alternaria,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_596,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,unidentified,unidentified,Bionectriaceae,9,Pathotroph-Saprotroph,Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_613,0.375,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_vermifera,Serendipita,13,Symbiotroph,Orchid Mycorrhizal,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_623,1.375,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_polychromum,Acremonium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_630,5.625,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,Pyrenochaetopsis,13,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_638,0.5,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Limonomyces,Limonomyces_roseipellis,Limonomyces,13,Pathotroph,Plant Pathogen,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_640,4.125,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Tetracladium,unidentified,Tetracladium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_659,2.5,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_677,4.875,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_684,2.25,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_bacilliformis,Ochroconis,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_698,0.625,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_712,0.875,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_kiliense,Sarocladium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_715,12.75,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_717,0.25,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_fusispora,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_721,0.125,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,Clitopilus,13,Saprotroph,Undefined Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_725,7.875,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Geoglossum,unidentified,Geoglossum,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_731,0.5,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Glutinoglossum,Glutinoglossum_heptaseptatum,Glutinoglossum,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_732,0.75,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Microfungus,Highly Probable,BBRP1,BM,restored,16,9,restored
1,otu_749,0.125,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Volutella,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_755,1,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Powellomycetaceae,Fimicolochytrium,Fimicolochytrium_jonesii,Fimicolochytrium,13,Pathotroph,Plant Pathogen,NULL,Probable,BBRP1,BM,restored,16,9,restored
